日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
2021/06/13,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,93280.9915
2021/06/13,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,187218.5992
2021/06/14,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,384378.5853
2021/06/14,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,87467.4552
2021/06/14,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,176932.0805
2021/06/15,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,475546.0399
2021/06/15,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,125840.8969
2021/06/15,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,201454.1166
2021/06/16,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,323278.6459
2021/06/16,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,73327.2123
2021/06/16,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,151915.4307
2021/06/17,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,339795.3027
2021/06/17,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,82865.4558
2021/06/17,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,160734.5597
2021/06/18,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,330153.2418
2021/06/18,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,75643.19
2021/06/18,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,157522.0668
2021/06/19,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,393289.8218
2021/06/19,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,104249.3517
2021/06/19,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,214260.0686
2021/06/20,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,380811.5567
2021/06/20,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,97387.5077
2021/06/20,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,190497.6657
2021/06/21,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,387538.8024
2021/06/21,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,88580.068
2021/06/21,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,177525.8405
2021/06/22,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,377123.124
2021/06/22,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,105463.4668
2021/06/22,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,170877.8122
2021/06/23,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,319350.657
2021/06/23,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,73359.6799
2021/06/23,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,155699.5799
2021/06/24,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,325880.8031
2021/06/24,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,77575.1082
2021/06/24,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,158381.0058
2021/06/25,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,367733.8849
2021/06/25,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,81050.074
2021/06/25,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,179306.132
2021/06/26,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,374139.6645
2021/06/26,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,95894.1959
2021/06/26,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,195222.3908
2021/06/27,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,373609.8367
2021/06/27,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,93152.227
2021/06/27,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,187372.9919
2021/06/28,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,386601.9282
2021/06/28,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,88019.6056
2021/06/28,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,174558.7933
2021/06/29,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,357119.2463
2021/06/29,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,104942.4959
2021/06/29,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,167054.8229
2021/06/30,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,317644.1497
2021/06/30,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,72408.6557
2021/06/30,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,156239.8739
2021/07/01,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,363257.3342
2021/07/01,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,82272.177
2021/07/01,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,165538.5726
2021/07/02,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,372090.555
2021/07/02,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,88117.6824
2021/07/02,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,188158.6511
2021/07/03,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,386006.4473
2021/07/03,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,95052.0589
2021/07/03,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,200409.724
2021/07/04,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,390199.3399
2021/07/04,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,90755.8053
2021/07/04,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,190051.5634
2021/07/05,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,383490.7898
2021/07/05,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,84945.364
2021/07/05,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,179472.7244
2021/07/06,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,354188.8125
2021/07/06,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,101666.5557
2021/07/06,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,169827.5763
2021/07/07,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,314675.6824
2021/07/07,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,70587.5732
2021/07/07,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,155294.3669
2021/07/08,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,304815.5058
2021/07/08,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,71633.0033
2021/07/08,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,147177.1563
2021/07/09,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,329864.3988
2021/07/09,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,74168.8619
2021/07/09,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,164447.0652
2021/07/10,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,365072.8799
2021/07/10,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,89585.5531
2021/07/10,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,190437.9558
2021/07/11,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,377521.3685
2021/07/11,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,92094.2174
2021/07/11,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,188232.7795
2021/07/12,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,397297.1542
2021/07/12,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,86289.2668
2021/07/12,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,183598.3313
2021/07/13,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,350361.0453
2021/07/13,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,98082.228
2021/07/13,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,164941.9884
2021/07/14,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,301764.021
2021/07/14,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,68298.911
2021/07/14,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,153221.0528
2021/07/15,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,376016.9338
2021/07/15,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,84738.6966
2021/07/15,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,180008.3446
2021/07/16,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,317675.6131
2021/07/16,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,70691.4484
2021/07/16,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,159982.8275
2021/07/17,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,364110.7465
2021/07/17,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,91092.7916
2021/07/17,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,195487.5205
2021/07/18,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,364682.343
2021/07/18,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,86474.9697
2021/07/18,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,181768.5849
2021/07/19,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,376118.906
2021/07/19,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,83131.1399
2021/07/19,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,177683.1224
2021/07/20,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,356739.7493
2021/07/20,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,96696.1247
2021/07/20,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,176708.048
2021/07/21,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,326504.09
2021/07/21,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,71924.8532
2021/07/21,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,173799.8387
2021/07/22,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,339222.7988
2021/07/22,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,78699.0103
2021/07/22,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,182665.3551
2021/07/23,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,341606.6653
2021/07/23,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,74653.4602
2021/07/23,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,179460.0983
2021/07/24,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,365149.1139
2021/07/24,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,86562.5792
2021/07/24,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,195027.4668
2021/07/25,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,396547.5229
2021/07/25,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,87600.6592
2021/07/25,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,183953.8251
2021/07/26,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,395093.8653
2021/07/26,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,85756.8943
2021/07/26,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,190914.8286
2021/07/27,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,363044.2027
2021/07/27,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,96047.5566
2021/07/27,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,177064.5992
2021/07/28,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,340134.3985
2021/07/28,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,71709.5734
2021/07/28,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,174046.0972
2021/07/29,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,316460.995
2021/07/29,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,74580.2186
2021/07/29,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,165915.9163
2021/07/30,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,311099.247
2021/07/30,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,68945.8137
2021/07/30,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,168051.9021
2021/07/31,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,360353.8163
2021/07/31,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,86669.0455
2021/07/31,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,191901.4033
